Species,number,sex,m1 md,m2 md,m3 md,m1 bl tri,m1 bl tal,m2 bl tri,m2 bl tal,m3 bl tri,m3 bl tal
Alouatta_palliata_aequatorialis,315790,F,6.85,8.08,8.41,5.19,5.62,5.39,6.47,5.75,5.22
Alouatta_palliata_aequatorialis,315791,F,7.36,8.18,8.79,5.62,5.72,5.67,6.62,5.68,4.9
Alouatta_palliata_aequatorialis,315792,F,7.02,7.3,7.93,5.25,5.61,5.41,6.05,5.6,5.36
Alouatta_palliata_aequatorialis,291116,M,7.5,8.5,8.75,5.75,6.25,6,6.75,6.12,5.62
Alouatta_palliata_aequatorialis,291120,M,7.5,8.37,8.87,5.62,6,6.25,7,6.25,6.25
Alouatta_palliata_aequatorialis,291961,M,7.75,8.37,8.5,5.62,6.12,6,6.87,6.12,5.75
Alouatta_palliata_aequatorialis,291031,M,7.5,8.12,7.5,6.25,5.87,6.37,6.5,6.37,5.37
Alouatta_palliata_aequatorialis,291038,M,7.25,7.62,7.62,5.75,6,5.75,6.25,6.25,5.62
Alouatta_palliata_aequatorialis,362288,M,7.5,7.75,,6.12,6.5,5.87,7,5.87,5.62
Alouatta_palliata_aequatorialis,338107,M,7.25,8.12,8.75,5.37,6.5,5.87,6.87,6,6.12
Alouatta_palliata_aequatorialis,338108,M,7.25,8.12,8.12,6.62,6,5.75,7,5.87,5.75
Alouatta_palliata_aequatorialis,315812,M,7.03,8,8.57,5.46,5.53,5.88,6.58,5.62,5.34
Alouatta_palliata_aequatorialis,315814,M,7.44,8.19,8.52,5.75,5.92,5.51,6.23,5.67,5.24
Alouatta_palliata_aequatorialis,315822,M,6.79,8.04,7.03,4.52,5.77,5.62,6.24,5.34,4.41
Alouatta_palliata_aequatorialis,315823,M,6.94,7.81,8.99,5.13,5.52,5.77,6.4,5.89,5.26
Alouatta_palliata_aequatorialis,324244,M,6.52,7.14,8.49,5,5.16,5.1,6.05,5.46,5.4
Alouatta_palliata_aequatorialis,324246,M,6.64,7.87,7.93,5.19,5.36,5.23,6.15,5.29,5.35
Alouatta_pigra,292177,?,7.08,7.8,7.8,4.7,5.22,4.96,6.05,5.2,5.3
Alouatta_pigra,144748,F,7.28,7.38,8.29,4.6,5.55,5.04,6.14,4.68,4.97
Alouatta_pigra,244872,F,7.21,8.05,9.71,4.96,5.24,5.6,6.18,5.68,5.81
Alouatta_pigra,292172,F,7.02,7.26,7.97,4.81,4.88,5.26,5.6,4.93,4.51
Alouatta_pigra,292173,F,7.27,8.02,8.72,4.59,5.62,5.42,6.56,5.48,5.65
Alouatta_pigra,292186,F,7.06,7.69,8.91,4.73,5.2,5.49,5.55,5.37,4.84
Alouatta_pigra,292187,F,6.79,7.53,8.68,4.44,4.76,4.78,5.31,4.65,4.89
Alouatta_pigra,292189,F,6.74,7.7,7.7,4.64,5.24,5.3,5.93,4.91,4.99
Alouatta_pigra,292191,F,6.91,7.34,7.46,4.06,4.84,4.39,5.39,4.37,4.82
Alouatta_pigra,292198,F,7.08,7.56,7.77,5.1,5.53,5.26,6.16,5.13,4.96
Alouatta_pigra,144749,M,6.86,7.65,8.87,4.94,5.38,,5.56,4.95,5.56
Alouatta_pigra,76720,M,7.48,7.7,9.47,4.36,5.43,4.79,6.46,5.4,6.18
Alouatta_pigra,249827,M,7.19,7.87,8.26,4.53,5.23,5.05,5.64,4.93,4.62
Alouatta_pigra,292171,M,7.49,8.14,8.66,5.18,5.49,5.25,6.75,5.15,5.42
Alouatta_pigra,292178,M,7.44,8.34,9.84,5.11,5.56,5.07,6.13,5.16,5.58
Alouatta_pigra,292185,M,6.89,7.63,8.8,4.69,5.24,5.58,6.29,4.82,5.31
Alouatta_pigra,292194,M,6.86,7.25,7.89,4.03,4.75,4.77,5.44,5.27,5.26
Alouatta_seniculus_seniculus,281752,F,7.12,7.5,7.75,5.25,,5.87,6.25,5.62,5.37
Alouatta_seniculus_seniculus,218754,F,7.25,7.75,8.12,5.37,5.75,5.75,6,5.37,5
Alouatta_seniculus_seniculus,281758,F,7.25,7.75,8.25,5.37,6,5.87,6.37,5.5,5.87
Alouatta_seniculus_seniculus,281748,F,7.37,7.5,7.87,5.62,,6.12,6.37,5.5,5.37
Alouatta_seniculus_seniculus,281759,F,6.5,7,7.75,5,5.62,5.5,6,5.12,4.87
Alouatta_seniculus_seniculus,123517,F,6.37,7.62,,5.12,5.75,5.62,6.25,,
Alouatta_seniculus_seniculus,123518,F,7,7.75,9.25,5.25,6,5.75,6.25,5.75,5.75
Alouatta_seniculus_seniculus,281761,F,7.12,8.37,8.5,5,5.75,5.75,6.5,5.25,5.25
Alouatta_seniculus_seniculus,281739,F,7,7.25,8.75,5.12,5.87,5.62,6.25,5.87,5.87
Alouatta_seniculus_seniculus,281663,F,6.62,7.37,9,4.87,5.37,5.37,5.87,5.5,5.25
Alouatta_seniculus_seniculus,281667,F,6.75,7,8.62,5.25,5.5,5.75,6,5.75,5.37
Alouatta_seniculus_seniculus,281668,F,6.5,7.12,8.37,4.87,5.37,5.37,5.87,5.5,5.12
Alouatta_seniculus_seniculus,281744,F,6.75,8,8.12,5.25,6,6,6.62,,5.5
Alouatta_seniculus_seniculus,281745,F,6.87,7.25,9,5,5.5,5.62,6,5.75,5.37
Alouatta_seniculus_seniculus,281746,F,6.87,7.37,8.37,,5.75,5.37,5.75,5.25,5.25
Alouatta_seniculus_seniculus,281766,F,7.12,7.87,9.12,5.25,5.87,5.75,6.25,5.5,5.62
Alouatta_seniculus_seniculus,281674,F,7,7.5,8.62,5.12,5.87,5.5,6.12,5.5,5.62
Alouatta_seniculus_seniculus,281676,F,,,,,,,,,
Alouatta_seniculus_seniculus,281677,F,7.37,8,7.75,5.75,6.25,6,6.37,5.37,5.37
Alouatta_seniculus_seniculus,281762,M,7.87,8.37,9.37,6,6.75,7,7.12,6.62,6.12
Alouatta_seniculus_seniculus,281760,M,7.5,8,8.37,5.87,6.37,6.25,6.62,5.75,5.62
Alouatta_seniculus_seniculus,281749,M,7.5,8.25,8.87,5.62,6.37,6.12,6.37,5.5,5.62
Alouatta_seniculus_seniculus,281750,M,7.25,8.12,9,5.62,5.87,6.12,6.75,6,5.75
Alouatta_seniculus_seniculus,281751,M,7.37,8.37,7.87,6,6.37,6.12,6.62,5.75,5.62
Alouatta_seniculus_seniculus,216664,M,7.62,8.25,9.75,5.87,6.25,6.5,6.75,6.62,6.37
Alouatta_seniculus_seniculus,123516,M,7.87,8.5,9.62,,6.37,6.25,6.87,5.87,6.37
Alouatta_seniculus_seniculus,123519,M,7.25,7.62,8.5,5.75,6,6.12,6.75,5.75,5.87
Alouatta_seniculus_seniculus,281672,M,7.75,7.87,8.62,5.87,6.37,6.37,6.5,6.12,5.62
Alouatta_seniculus_seniculus,281741,M,7.75,8.62,8.5,5.75,6.5,6,6.5,5.5,4.87
Alouatta_seniculus_seniculus,281740,M,7.75,7.87,9.5,5.87,6.12,6.62,6.37,6.12,6
Alouatta_seniculus_seniculus,281678,M,8,8.37,9.37,5.75,6.62,6.25,7.12,6,6.12
Alouatta_seniculus_seniculus,281675,M,7.75,7.87,8.62,5.62,6.37,5.87,6.62,5.5,5.37
Alouatta_seniculus_seniculus,281743,M,8,8.25,8.5,6,6.62,6.5,7,6.12,5.87
Alouatta_seniculus_seniculus,281774,M,7.87,8.62,8.62,6.25,6.37,6.5,6.62,6,6
Alouatta_seniculus_seniculus,281764,M,7.5,8.37,9.12,5.75,6.37,6.25,6.75,5.87,5.5
Alouatta_seniculus_seniculus,281765,M,7.62,8.37,10.5,,6.37,6.62,6.87,6.37,5.87
Alouatta_seniculus_seniculus,281670,M,7.5,8.25,9.75,5.75,6.25,6.25,6.75,6,5.62
Alouatta_seniculus_seniculus,281669,M,7.5,8.5,10.5,6,6.5,6.5,6.87,6.37,6.5
Alouatta_seniculus_seniculus,281665,M,7.12,7.87,7.75,5.75,6.12,6,6.37,5.5,5.25
Alouatta_seniculus_seniculus,281660,M,6.62,7.87,8.87,5.12,,5.87,6.37,5.75,5.37
Alouatta_seniculus_seniculus,281777,M,7.37,8.25,9.12,5.62,6.37,6.25,7,6.37,7
Aotus_trivirgatus_lemurinus,37815,F,3.18,3.18,2.93,3,2.87,3.06,2.87,2.87,2.43
Aotus_trivirgatus_lemurinus,37818,F,3.18,3.37,3.25,3.06,3.06,3.25,3.06,2.75,2.25
Aotus_trivirgatus_lemurinus,143832,F,2.93,3.06,3,2.68,2.81,2.87,2.75,2.56,2.43
Aotus_trivirgatus_lemurinus,33060,F,3.25,3.37,3.12,3,2.87,3.12,3.06,2.81,2.62
Aotus_trivirgatus_lemurinus,33058,F,3.37,3.43,3.18,3.06,3.18,3,3.06,2.56,2.43
Aotus_trivirgatus_lemurinus,14177,F,3.18,3.12,2.93,2.75,2.87,2.93,2.87,2.62,2.37
