Row.names,m1.md,m1.bl.tal,ratio_m1,m2.md,m2.bl.tal,ratio_m2,m3.md,m3.bl.tal,ratio_m3
Papio_hamadryas,10.18961538,7.935416667,0.25003324,12.49846154,9.761923077,0.247116142,15.83923077,9.354230769,0.526661093
Papio_papio,10.935,8.685,0.230371254,12.685,10.37,0.201503171,16.125,9.62,0.516526598
Papio_ursinus,11.03285714,8.948,0.20944779,13.22666667,10.06857143,0.272816161,17.12285714,10.33571429,0.504808942
Pithecia_pithecia,3.6636,3.414,0.070561646,3.7492,3.3925,0.099975371,3.759583333,3.072857143,0.201700341
Pongo_abelii,12.92571429,11.44428571,0.121728142,13.66,12.22714286,0.110813549,13.71142857,11.22857143,0.199768137
Pongo_pygmaeus,13.2575,11.9915,0.100365365,13.7845,12.35025,0.109868467,13.71564103,11.34289474,0.189945329
Presbytis_comata,6.006666667,5.056666667,0.172162459,6.013333333,5.496428571,0.089880695,6.538666667,5.006,0.267096078
Presbytis_frontata,5.94,5.375,0.099950559,6.315,5.88,0.071370994,6.75,5.63,0.181433063
Presbytis_melalophos,5.69516129,4.872580645,0.155993215,5.756129032,5.082258065,0.124509542,5.836451613,4.449354839,0.271363906
Presbytis_potenzianni,6.682380952,5.675333333,0.163345055,6.957727273,6.167619048,0.120540008,7.579090909,5.678095238,0.288777429
Presbytis_rubicunda_chrysomelas,5.633333333,4.830606061,0.153729395,5.452121212,4.8728125,0.11233346,6.026969697,4.592727273,0.271770322
Presbytis_thomasi,5.825,5.05875,0.141039582,5.87375,5.43625,0.077403787,6.78,5.2025,0.264837823
Trachypithecus_vetulus,6.517333333,4.986136364,0.26780396,6.814222222,5.678222222,0.182373737,8.439777778,5.399555556,0.446639333
Procolobus_verus,5.475,4.310666667,0.239099705,5.598043478,4.846,0.144263535,6.972826087,4.671136364,0.400618232
Pygathricx_nemaeus_nigriceps,6.932,5.426,0.244946158,7.4255,6.1875,0.182388895,9.442105263,6.091111111,0.438348457
Pygathrix_nemaeus,6.7225,5.2825,0.241060639,7.065,5.9075,0.178930286,8.7175,5.72,0.421363694
Rhinopithecus_avunculus,5.703333333,5.873333333,-0.029371533,7.29,6.873333333,0.058854356,8.786666667,6.83,0.251910747
Rhinopithecus_bieti,7.56,6.56,0.141880587,8.75,7.495,0.154817569,11.745,7.495,0.449191487
Rhinopithecus_roxellana,7.5925,6.623333333,0.13656215,8.9375,7.5325,0.171028916,10.70666667,7.2825,0.385392391
Saguinus_fuscicollis,2.4,2.07,0.14792013,2.107352941,1.667647059,0.234018944,NA,NA,NA
Saguinus_niger,2.594210526,1.895714286,0.313686542,2.190526316,1.500909091,0.378070857,NA,NA,NA
Saguinus_geoffroyi,2.805714286,2.18575,0.249699135,2.314146341,1.741052632,0.284550978,NA,NA,NA
Saimiri_oerstedi_oerstedi,2.708,2.495714286,0.08163538,2.5,2.123428571,0.163258699,2.19,1.399642857,0.447684442
Saimiri_boliviensis,2.66673913,2.690909091,-0.009022662,2.486521739,2.360434783,0.05203901,2.124186047,1.66625,0.2428131
Semnopithecus_entellus lianna,8,6.88,0.15082289,9.25,7.75,0.176930708,NA,NA,NA
Semnopithecus_entellus_achates,7.514545455,5.992727273,0.226293923,7.968181818,6.879090909,0.146969831,9.73,6.707272727,0.372021477
Semnopithecus_entellus_aeneus,7.13,6.005,0.171718779,7.875,6.755,0.153410213,9.44,6.25,0.412374516
Semnopithecus_entellus_ajax,9,7.163846154,0.228177568,9.894615385,8.240833333,0.182889237,12.49153846,7.885384615,0.460040495
Semnopithecus_entellus_anchises,7.53,6.06,0.217185242,8.125,6.9675,0.153689248,10.1575,6.69,0.417598475
Semnopithecus_entellus_elissa,7.666666667,6,0.245122458,8.21,6.833333333,0.183540326,10,6.5,0.430782916
Semnopithecus_entellus,7.927333333,6.583571429,0.185739335,8.568666667,7.334666667,0.155500173,10.58357143,7.195384615,0.385863139
Semnopithecus_entellus_hector,8.865,6.987777778,0.237948348,9.665,8.155555556,0.169811754,12.44666667,7.836666667,0.462639276
Semnopithecus_entellus_iulus,6.92,5.63,0.206306327,7.543333333,6.46,0.155034853,9.043333333,6.17,0.382329
Semnopithecus_entellus_priam,7.444444444,6.0925,0.200409536,7.916666667,6.75,0.159427737,9.584444444,6.528888889,0.38390464
Semnopithecus_entellus_primellus,7.38,5.5,0.294025546,7.88,6.63,0.1727231,10.13,6.88,0.386882666
Semnopithecus_entellus_schistecea,8.69,6.916666667,0.228238981,9.75,8.126666667,0.18211645,12.12666667,7.75,0.447714041
Semnopitheecus_entellus_thersites,7.06,5.660625,0.220910741,7.5009375,6.353125,0.166081195,9.1540625,6.095625,0.406626469
Simias_concolor,6.55,5.128,0.24474933,7.244375,5.794,0.223402406,9.150625,5.7675,0.461583472
Theropithecus_gelada,10.15034483,7.974444444,0.241265694,12.70366667,9.191538462,0.323607337,16.33034483,9.235714286,0.569947067
Trachypithecus_cristatus,6.929,5.488,0.233151612,7.46625,6.3165,0.167227608,8.68775,5.933333333,0.381327819
Trachypithecus_francoisi,6.566666667,5.427777778,0.190476546,6.803333333,5.762222222,0.166089485,8.331111111,5.3575,0.441499386
Trachypithecus_obscurus,6.277111111,4.874545455,0.252883,6.677777778,5.518636364,0.19065447,7.757777778,5.011818182,0.436897165
Trachypithecus_pileatus,6.863076923,5.709230769,0.184071574,7.160769231,6.266153846,0.133454665,8.314615385,5.891538462,0.344497694
